month,key,id,entity,shipper_price,distance,pickup_date,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,number_of_addresses,median_duration_days
"November 1, 2025",shp389eac391a43c1c,2085642,Binzagr Logistics Company,"1,895",976.99,"November 6, 2025, 8:00 AM",21.11,39.25,24.62,46.86,2,2
"November 1, 2025",shp3e03868f89072cfe,9482319,Binzagr Logistics Company,"1,895",959.06,"November 13, 2025, 8:00 AM",21.43,39.22,24.62,46.86,2,2
"August 1, 2025",shpb2e48024fe0bc7bb,7374493,Barha - Nawaz,"2,000","1,080.64","August 14, 2025, 2:00 PM",22.77,39.07,24.88,46.75,2,3
"August 1, 2025",shpbe8187b31dbe9651,4970441,Rental Deadlegs,1,316.64,"August 9, 2025, 2:00 PM",21.49,39.19,24.01,38.25,2,1
"August 1, 2025",shpd001a6c30f80d07f,3270894,Rental Deadlegs,1,316.64,"August 16, 2025, 10:00 PM",21.49,39.19,24.01,38.25,2,1
"October 1, 2025",shp4ef56e0b74e8dd95,2179338,Omas Al Zahid,"2,300",621.11,"October 11, 2025, 11:30 PM",21.2,41.6,24.13,38.13,2,2
"November 1, 2025",shp446921b3ed9a95d5,9187398,Maersk,"2,900","1,400.43","November 21, 2025, 10:30 PM",27.01,49.59,21.48,39.17,2,3
"November 1, 2025",shp465ca58bdf61b27e,9514771,Advance Pipe,"3,000","1,215.16","November 3, 2025, 1:00 PM",26.28,49.97,24.47,39.6,2,3
"November 1, 2025",shpdfe646e3502ba109,3050127,Yaqout Ceramic Co LTD,400,313.19,"November 6, 2025, 8:00 AM",23.99,38.27,21.53,39.16,2,2
"January 1, 2026",shp7ed89006164a723e,2812752,Al Barrak Logistics,"1,550",522.49,"January 12, 2026, 10:30 PM",26.96,49.57,25.16,46.33,2,2
"November 1, 2025",shp90406831ca925866,3804733,Binzagr Logistics Company,"1,895",959.06,"November 13, 2025, 8:00 AM",21.43,39.22,24.62,46.86,2,2
"October 1, 2025",shp9df18afd504a557d,8612583,Omas Al Zahid,"3,500","1,252.81","October 9, 2025, 1:00 PM",21.2,41.6,26.96,49.65,2,2
"November 1, 2025",shp9e021dfe23b9f553,2715740,Expertise,"3,150","1,466.24","November 12, 2025, 8:00 AM",26.91,49.49,23.94,38.32,2,2
"October 1, 2025",shp9e63a2811fe891ff,1773615,Omas Al Zahid,"2,300",621.11,"October 11, 2025, 11:30 PM",21.2,41.6,24.13,38.13,2,2
"November 1, 2025",shpb849813215548e14,4111061,Expertise,"3,150","1,430.92","November 18, 2025, 8:00 AM",26.42,50.09,23.94,38.32,2,3
"January 1, 2026",shp2a5e5a2e358264b1,5051028,Al Iman Contracting Company,"2,200",974.9,"January 13, 2026, 1:00 PM",21.1,39.26,24.72,46.49,2,3
"August 1, 2025",shpd0f40e34c7df8523,5480298,WANG KANG CERAMICS,800,220.87,"August 25, 2025, 10:00 AM",24,38.27,24.47,39.61,2,1
"August 1, 2025",shpe9077db48399f15c,9291656,Rental Deadlegs,1,492.36,"August 20, 2025, 9:00 AM",25,46.56,26.96,49.57,2,1
"August 1, 2025",shped32241ec2e4780,9096438,SAVOLA - Afia,"1,850",944.05,"August 25, 2025, 9:00 AM",21.43,39.23,24.59,46.75,2,2
"November 1, 2025",shpcccd2a74cfb9a0a0,2885157,Binzagr Logistics Company,"2,095","1,356.63","November 12, 2025, 8:00 AM",21.43,39.22,26.41,50.17,2,3
"January 1, 2026",shp8c09eff2219c8e7,2931928,Binzagr Logistics Company,"1,200",469.59,"January 19, 2026, 9:00 AM",25.93,49.95,24.62,46.86,2,2
"January 1, 2026",shp89df14416395c8a2,8233779,Unilever - Maersk Arabia,"1,700",966.07,"January 13, 2026, 8:00 AM",21.48,39.17,24.62,46.86,2,2
"December 1, 2025",shp36f86fabfc0b1891,3648353,Saudi Paper Manufacturing SPM,"2,600",1.36,"December 8, 2025, 9:30 AM",26.26,49.98,21.5,39.2,2,3
"November 1, 2025",shp160149ce99d12022,2745640,Unilever - Maersk Arabia,"1,700",964.24,"November 6, 2025, 8:00 AM",21.48,39.17,24.62,46.86,2,2
"December 1, 2025",shpbd7502e9efd18a8c,1111706,Saudi Paper Manufacturing SPM,"2,600",1.36,"December 8, 2025, 9:30 AM",26.26,49.98,21.5,39.2,2,3
"January 1, 2026",shp178a195d9730af33,4323381,SABIC - Maersk Arabia,"3,100","1,439.15","January 15, 2026, 4:00 PM",23.99,38.26,26.4,50.11,2,3
"October 1, 2025",shp1c655838261e5333,3819385,Altaaqa Al Zahid,"2,500",799.94,"October 30, 2025, 2:00 PM",21.81,39.1,27.62,38.49,2,1.5
"January 1, 2026",shpb6350755e4100f96,9179920,Binzagr Logistics Company,"1,895",943.36,"January 19, 2026, 10:30 PM",21.44,39.34,24.62,46.86,2,2
"November 1, 2025",shp248639a33c68c38,9907008,AJEX,"2,725","1,450.75","November 8, 2025, 8:00 AM",26.42,50.19,22.48,39.14,2,2
"October 1, 2025",shp3c6c2904b396e08e,2506612,Unilever - Maersk Arabia,"1,700",964.24,"October 27, 2025, 10:00 PM",21.48,39.17,24.62,46.86,2,2
"November 1, 2025",shp7cab7779f2b4ea61,1587223,SABIC - Maersk Arabia,"2,000","1,145.49","November 3, 2025, 1:00 PM",23.99,38.22,24.15,47.34,2,3
"October 1, 2025",shpcb4aea7204700b8d,3803724,Unilever - Maersk Arabia,"1,700",945.43,"October 18, 2025, 3:00 AM",21.48,39.17,24.62,46.86,2,2
"November 1, 2025",shp7eb1e96b79d8556d,9049299,Maersk Hub,800,171.08,"November 23, 2025, 10:30 PM",21.3,39.15,22.53,39.12,2,1
"November 1, 2025",shp7f10424440d28157,2835109,Maersk,"2,900","1,391.05","November 20, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"January 1, 2026",shp404f4be80e7460e5,8620141,Maersk Hub,"1,200",341.2,"January 16, 2026, 1:00 AM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shp46c98c065d246094,1104848,Maersk Hub,"1,200",341.2,"January 16, 2026, 1:00 AM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shp4f11746b7fe8a724,7608924,Al Barrak Logistics,"1,200",338.23,"January 21, 2026, 7:00 PM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shp70579597f457fc74,9390425,Al Barrak Logistics,"1,200",338.23,"January 21, 2026, 7:00 PM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shpa3b8731b35ba5eff,4588374,Maersk Hub,"1,200",341.2,"January 16, 2026, 1:00 AM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shpbbc5d3c35a847ecf,1959340,Maersk PLF,"2,900","1,400.43","January 22, 2026, 10:30 PM",27.01,49.59,21.48,39.17,2,3
"January 1, 2026",shpc32e1a31387c1263,9564996,Al Barrak Logistics,"1,200",338.23,"January 21, 2026, 7:00 PM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shpf25d02bb3df0e15a,5498390,Maersk Hub,"1,200",341.2,"January 16, 2026, 1:00 AM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shpf84c4b57cc93b331,5302740,Al Barrak Logistics,"1,200",338.23,"January 21, 2026, 7:00 PM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shpf9600ad11d07fcc2,2874620,Al Barrak Logistics,"1,200",338.23,"January 21, 2026, 7:00 PM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shp817799a9ca3bbb19,6584410,SAVOLA - Afia,"1,790",940.36,"January 15, 2026, 8:00 AM",21.43,39.23,24.71,46.68,2,2
"January 1, 2026",shp38f989ae0c7bea38,8776570,Maersk Hub,"1,200",341.2,"January 19, 2026, 6:00 PM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shp3af1146216333786,9992705,Maersk Hub,"1,200",341.2,"January 16, 2026, 6:00 PM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shp571b8aaab7ee3677,1471681,Maersk Hub,"1,200",341.2,"January 16, 2026, 6:00 PM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shp704dd4a654eb387c,5161265,Maersk Hub,"1,200",341.2,"January 16, 2026, 6:00 PM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shp8eb6803cbd6ccfd5,9670291,Maersk Hub,"1,200",341.2,"January 16, 2026, 6:00 PM",22.77,39.07,22.77,39.07,3,1
"November 1, 2025",shp8229327d367f377e,1165761,Yaqout Ceramic Co LTD,900,"1,436.62","November 8, 2025, 1:00 PM",23.99,38.27,26.42,50.09,2,3
"January 1, 2026",shp9dbe8e3e5bb33979,9348616,Maersk Hub,"1,200",341.2,"January 18, 2026, 6:00 PM",22.77,39.07,22.77,39.07,3,1
"November 1, 2025",shpb4955e867ae15c3a,5596056,Maersk Hub,800,171.08,"November 26, 2025, 8:00 AM",21.3,39.15,22.53,39.12,2,1
"January 1, 2026",shpda0d8a93870ce9b8,6996486,Maersk Hub,"1,200",341.2,"January 19, 2026, 6:00 PM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shpef7da687ca6386d6,5673648,Maersk Hub,"1,200",341.2,"January 16, 2026, 6:00 PM",22.77,39.07,22.77,39.07,3,1
"November 1, 2025",shp83c3ddcf1cbe6304,4861992,Maersk,"3,250","1,491.62","November 26, 2025, 2:00 PM",27.08,49.69,21.26,39.2,3,3
"January 1, 2026",shp3892686be5104808,3626317,Maersk Hub,"1,200",341.2,"January 18, 2026, 6:00 PM",22.77,39.07,22.77,39.07,3,1
"October 1, 2025",shp684a9d11cda56afe,8434358,Maersk,"2,900","1,391.05","October 30, 2025, 11:30 PM",27.01,49.6,21.48,39.17,2,3
"October 1, 2025",shp6894cefd7ade368e,9739607,Maersk,"2,950","1,391.05","October 30, 2025, 11:30 PM",27.01,49.6,21.48,39.17,2,3
"January 1, 2026",shp6d3ac409f96b6267,4070921,Maersk Hub,"1,200",341.2,"January 18, 2026, 6:00 PM",22.77,39.07,22.77,39.07,3,1
"November 1, 2025",shp7843879bef46c11,1159604,AJEX,"2,725","1,450.75","November 8, 2025, 8:00 AM",26.42,50.19,22.48,39.14,2,2
"December 1, 2025",shpf05f2e25b48f3e9a,1236899,هضاب الخليج HKC,"1,450","1,079.52","December 7, 2025, 2:00 PM",24.04,38.22,24.56,46.87,2,2
"October 1, 2025",shp9dc269d8e1ee155b,1726009,Maersk,"2,950","1,391.05","October 30, 2025, 11:30 PM",27.01,49.6,21.48,39.17,2,3
"December 1, 2025",shp264396237f119b0f,1766542,AJEX,"2,800",1.45,"December 8, 2025, 7:00 AM",26.42,50.19,22.48,39.14,2,2
"January 1, 2026",shpbdf8ef5859e921c8,3346040,Maersk Hub,"1,200",341.2,"January 16, 2026, 6:00 PM",22.77,39.07,22.77,39.07,3,1
"January 1, 2026",shp864531271685c2d8,6915404,Unilever - Maersk Arabia,"1,700",966.07,"January 15, 2026, 8:00 AM",21.48,39.17,24.62,46.86,2,2
"November 1, 2025",shp113d295391c7c059,9195959,هضاب الخليج HKC,"1,450","1,079.52","November 9, 2025, 7:00 PM",24.04,38.22,24.56,46.87,2,2
"November 1, 2025",shp126f59ff1449ad75,7053884,WANG KANG CERAMICS,900,"1,436.58","November 8, 2025, 1:00 PM",24,38.27,26.42,50.09,2,3
"January 1, 2026",shp12bf92061f273e90,2604508,Unilever - Maersk Arabia,"1,700",966.07,"January 15, 2026, 8:00 AM",21.48,39.17,24.62,46.86,2,2
"November 1, 2025",shp1416bf09fe39c204,3149685,Maersk,"2,900","1,391.05","November 22, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"November 1, 2025",shp14740c1ed350de82,7662741,Maersk,"2,900","1,391.05","November 25, 2025, 1:00 PM",27.01,49.6,21.48,39.17,2,3
"November 1, 2025",shp171793c1a014464c,2743816,Maersk,"2,900","1,391.05","November 5, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"November 1, 2025",shp185b48babf9ccc8c,7556947,Maersk,"2,900","1,391.05","November 29, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"November 1, 2025",shp1960a43db3124e4d,7940174,Ma'aden,875,101.2,"November 23, 2025, 9:30 PM",26.97,49.63,26.26,49.98,2,2
"November 1, 2025",shp1a26b8d168096b8e,6885448,Mansour Al Mousaad,"1,300",701.55,"November 4, 2025, 1:00 PM",21.28,39.19,21.28,39.19,3,2
"November 1, 2025",shp1d3c2bcfbe87beed,4601116,Maersk,"2,900","1,391.05","November 10, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"November 1, 2025",shp1f65554beb20f2f0,3234880,Ma'aden,"1,625",473.01,"November 23, 2025, 1:30 PM",26.97,49.63,24.54,46.88,2,1
"November 1, 2025",shp1f6a724314b0670e,2580197,Ejar Zahid,"3,700","1,731.94","November 27, 2025, 7:00 PM",27.08,49.56,25.51,37.06,2,2
"January 1, 2026",shp20693fb24aaef423,6576557,Unilever - Maersk Arabia,"1,700",966.07,"January 14, 2026, 11:00 PM",21.48,39.17,24.62,46.86,2,2
"November 1, 2025",shp2486511282073145,8401083,Yaqout Ceramic Co LTD,"1,650","1,053.93","November 6, 2025, 6:00 PM",23.99,38.27,24.81,46.81,2,2
"January 1, 2026",shp25153a069124fcc8,1801392,WARAQ,"3,200","1,375.96","January 15, 2026, 8:00 AM",26.25,49.97,21.11,39.33,2,3
"November 1, 2025",shp25ccabd3f77a0624,3827854,Maersk,"2,900","1,391.05","November 5, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"November 1, 2025",shp261ec17e63ecc361,9326306,Maersk,"2,900","1,391.05","November 20, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"November 1, 2025",shp263ec3b673c07703,1693036,Maersk,"2,900","1,391.05","November 15, 2025, 10:30 PM",27.01,49.6,21.48,39.17,2,3
"November 1, 2025",shp2747dbd1e4ad69e0,5380812,Yaqout Ceramic Co LTD,710,682.59,"November 12, 2025, 3:00 PM",23.99,38.27,26.21,43.48,2,1
